Year,chicken,coffee,eggs,electricity,rice,unleadedGasoline
1980,0.7085833333333335,3.1425,0.8438333333333334,0.06,0.5115833333333334,1.2451666666666668
1981,0.7317499999999999,2.527166666666667,0.8986666666666667,0.06933333333333332,0.563,1.3782499999999998
1982,0.7135833333333333,2.523833333333333,0.8668333333333335,0.07608333333333332,0.5047499999999999,1.2955
1983,0.7246666666666667,2.4655,0.8936666666666668,0.07824999999999999,0.4731666666666667,1.2411666666666663
1984,0.8100833333333334,2.578,1.0046666666666668,0.08174999999999998,0.47800000000000004,1.2122499999999998
1985,0.7632499999999999,2.5805833333333332,0.8035833333333334,0.08127272727272726,0.4698333333333334,1.2017499999999999
1986,0.8350000000000001,3.4327500000000004,0.8695833333333334,0.07658333333333332,0.44550000000000006,0.9274166666666667
1987,0.7848333333333334,2.785083333333333,0.7825833333333335,0.07899999999999999,0.40149999999999997,0.9484166666666666
1988,0.8536666666666667,2.7689166666666662,0.7894999999999999,0.07999999999999999,0.4844166666666667,0.9461666666666666
1989,0.9269999999999999,3.0726666666666667,0.9978333333333333,0.08183333333333331,0.49849999999999994,1.0221666666666667
1990,0.8991666666666668,2.96625,1.0139166666666666,0.08366666666666665,0.49641666666666656,1.1643333333333334
1991,0.8803333333333333,2.808666666666667,0.9892499999999999,0.08666666666666666,0.5026666666666667,1.1400833333333333
1992,0.8693333333333332,2.5771666666666664,0.8601666666666669,0.0880833333333333,0.5279166666666667,1.1264999999999998
1993,0.8901666666666667,2.4715833333333332,0.9114166666666668,0.09158333333333334,0.51225,1.1079166666666667
1994,0.9009166666666667,3.4013333333333335,0.8628333333333332,0.09199999999999998,0.54675,1.1118333333333332
1995,0.9166666666666666,4.037916666666667,0.9245000000000001,0.09358333333333331,0.5245,1.1471666666666664
1996,0.9726666666666669,3.4302500000000005,1.1063333333333334,0.09416666666666666,0.5461666666666668,1.2309166666666667
1997,1.0019166666666666,4.11075,1.0583333333333333,0.09433333333333332,0.565,1.2336666666666665
1998,1.0436666666666665,3.765,1.0374166666666669,0.08683333333333332,0.5419166666666666,1.0593333333333332
1999,1.0559166666666666,3.427333333333334,0.9592499999999999,0.08633333333333332,0.5368333333333334,1.1650833333333332
2000,1.0711666666666664,3.4497500000000003,0.9135,0.08725,0.4905,1.51
2001,1.1051666666666666,3.0925833333333332,0.9293333333333335,0.09233333333333332,,1.461
2002,1.0739166666666666,2.9237499999999996,1.0319999999999998,0.09108333333333331,0.469375,1.3575
2003,1.0344166666666668,2.91625,1.2444166666666665,0.09283333333333332,0.45216666666666666,1.5907499999999999
2004,1.0695833333333333,2.8494166666666665,1.3395000000000001,0.09433333333333332,0.5363333333333332,1.8801666666666668
2005,1.05575,3.2624999999999997,1.2181666666666666,0.09999999999999999,0.5540833333333334,2.2953333333333332
2006,1.0493333333333335,3.2031666666666667,1.3062499999999997,0.11233333333333335,0.5491666666666666,2.5889166666666665
2007,1.1151666666666666,3.4689,1.6762499999999998,0.11666666666666665,0.549,2.8005833333333334
2008,1.2069166666666669,,1.9865000000000002,0.12333333333333334,0.7325833333333334,3.26625
2009,1.2781666666666665,3.669,1.6639999999999997,0.12716666666666668,0.7656666666666667,2.3501666666666665
2010,1.2631666666666665,3.9056666666666664,1.6596666666666666,0.12766666666666668,0.7406666666666667,2.7875
2011,1.2913333333333332,5.19075,1.7694999999999999,0.12975,0.7406666666666667,3.526666666666667
2012,1.4221666666666668,5.675999999999999,1.837666666666667,0.12958333333333336,0.6968333333333333,3.644083333333334
2013,1.4961666666666666,5.452833333333333,1.9095000000000002,0.13216666666666668,0.7235833333333334,3.526
2014,1.53325,4.989583333333333,2.0185,0.1370833333333333,0.7339999999999999,3.3672500000000003
2015,1.4882499999999999,4.72,2.469416666666667,0.13808333333333334,0.6854166666666667,2.4477499999999996
2016,1.463666666666667,4.392833333333333,1.6841666666666668,0.13516666666666668,0.7161666666666667,2.1417499999999996
2017,1.4719166666666668,4.4526666666666666,1.4670833333333333,0.13775,0.72125,2.4074999999999998
2018,1.4970833333333333,4.302333333333333,1.7416666666666665,0.13625,0.6935833333333333,2.7353333333333336
2019,1.4949999999999999,4.141333333333333,1.395833333333333,0.13633333333333333,0.7645,2.63625
2020,1.5629090909090906,4.4325833333333335,1.5057500000000001,0.13533333333333333,0.7585454545454546,2.1744166666666667
2021,1.5444,4.650599999999999,1.5866,0.138,0.7862,2.6848
