YEAR FORECAST MADE,YEAR BEING FORECAST,FORECASTER_CONF,INDICATOR,actual,pred_average,pred_var,banana,beef,bread,chicken,eggs,electricity,flour,iceCream,unleadedGasoline
2001,2002,0.2525719424460433,RealGDP,1.69594,3.4,0.49,0.5023333333333333,1.733666666666667,0.9973333333333332,1.1006666666666665,0.943,0.092,0.2996666666666667,3.662333333333333,1.6443333333333332
2017,2019,0.3241727272727273,Unemployment,3.683333,4.85,0.25875,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2015,2015,0.2885822147651005,Unemployment,5.275,5.3,0.11625,0.5773333333333333,4.085333333333334,1.4183333333333332,1.4503333333333333,2.741,0.1343333333333333,0.5026666666666667,4.678333333333334,2.1780000000000004
2012,2013,0.436821345707657,Core CPI,1.72314678876611,2.15,0.165,0.5986666666666666,3.0333333333333337,1.4116666666666668,1.4473333333333336,1.807,0.133,0.525,4.889333333333333,3.671333333333333
2017,2018,0.3030285714285709,Unemployment,3.891667,3.8875,0.3029688,0.5523333333333335,3.678,1.313,1.4683333333333335,1.6203333333333336,0.1363333333333333,0.477,4.669333333333333,2.497
1993,1994,0.2885822147651005,RealGDP,4.02879,3.55,0.6475,0.4586666666666666,1.563,0.747,0.875,0.9066666666666668,0.088,0.2406666666666666,2.560333333333334,1.1076666666666668
2010,2013,0.3263561643835613,RealGDP,1.84187,2.45,0.4475,0.576,2.357666666666667,1.3683333333333334,1.2426666666666666,1.5986666666666665,0.1283333333333333,0.4806666666666666,4.512,2.821
2007,2008,0.4127572016460904,Core CPI,1.99951403422141,2.175,0.256875,0.5106666666666667,2.298,1.1953333333333334,1.1223333333333334,1.4976666666666667,0.1166666666666666,0.3516666666666666,3.8496666666666655,3.014
2013,2014,0.2572015915119365,Core CPI,1.7271,1.013158,0.2728532,0.5883333333333334,3.442,1.375,1.527,1.9586666666666663,0.131,0.5153333333333333,4.935,3.301
2007,2007,0.3007236842105265,Core CPI,2.31034482758621,2.0,0.1125,0.5073333333333333,2.260333333333333,1.1606666666666663,1.0453333333333334,1.643,0.113,0.353,4.006666666666667,2.3836666666666666
2015,2016,0.2885822147651005,Core CPI,2.182359,2.5,0.3625,0.5803333333333334,4.161666666666666,1.4329999999999998,1.4433333333333334,2.826333333333333,0.1416666666666666,0.5186666666666667,4.618,2.635
2016,2019,0.374479905437352,RealGDP,2.28887,1.3,0.56,0.568,3.670666666666667,1.3396666666666668,1.4526666666666668,1.4906666666666668,0.139,0.5453333333333333,4.698666666666667,2.196
2016,2019,0.361911196911197,Unemployment,3.683333,4.95,0.135,0.568,3.670666666666667,1.3396666666666668,1.4526666666666668,1.4906666666666668,0.139,0.5453333333333333,4.698666666666667,2.196
2013,2015,0.3201466275659826,Unemployment,5.275,6.9675,0.4358188,0.6096666666666667,3.372666666666666,1.415,1.4746666666666668,1.941,0.1286666666666666,0.5156666666666667,5.1786666666666665,3.593
2013,2014,0.2597923875432527,Unemployment,6.158333,7.4125,0.2454687,0.601,3.3203333333333336,1.4163333333333334,1.4826666666666668,1.8823333333333332,0.132,0.5283333333333333,4.976333333333333,3.6153333333333335
2009,2009,0.2917559523809523,RealGDP,-2.59989,-1.95,0.5475,0.6346666666666666,2.354,1.3983333333333334,1.2943333333333331,1.7793333333333334,0.126,0.5096666666666666,4.3183333333333325,1.888
1994,1994,0.1899999999999999,RealGDP,4.02879,2.88,3.7556,0.4846666666666666,1.564,0.7596666666666666,0.8926666666666666,0.9153333333333332,0.0896666666666666,0.2296666666666666,2.542666666666667,1.0463333333333331
2016,2017,0.3241727272727273,RealGDP,2.25568,2.5,0.82,0.568,3.670666666666667,1.3396666666666668,1.4526666666666668,1.4906666666666668,0.139,0.5453333333333333,4.698666666666667,2.196
